,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,price,prediction_label,error
6234,planta 1,interior,3,92.0,True,True,Gaztambide,chamberi,425000,505132.0,-80132.0
8746,bajo,exterior,2,47.0,False,False,Peñagrande,fuencarral,163900,170759.3333333333,-6859.333333333314
14683,planta 3,exterior,3,96.0,True,False,12 de Octubre-Orcasur,usera,160000,186040.0,-26040.0
11258,planta 1,exterior,3,102.0,True,True,Palomeras Bajas,puente-de-vallecas,190000,188222.6,1777.3999999999942
8573,planta 11,exterior,2,95.0,True,False,Pilar,fuencarral,297000,283973.53,13026.469999999972
3085,planta 5,exterior,2,116.0,True,True,Pau de Carabanchel,carabanchel,359000,437044.0,-78044.0
14758,planta 2,exterior,4,129.0,True,False,Almendrales,usera,360000,356318.33333333326,3681.6666666667443
477,planta 7,exterior,1,63.0,True,True,Delicias,Arganzuela,319000,330499.0,-11499.0
5689,planta 4,exterior,2,103.0,True,False,Bernabéu-Hispanoamérica,chamartin,630000,589879.99,40120.01000000001
8155,chalet,exterior,4,860.0,False,True,Casa o chalet independiente en Mirasierra,fuencarral,2950000,3003750.0,-53750.0
798,planta 2,exterior,2,70.0,True,True,Casco Histórico de Barajas,barajas,225000,255104.0,-30104.0
14349,bajo,interior,1,29.0,False,False,Bellas Vistas,tetuan,124000,123728.9,271.1000000000058
10816,planta 2,exterior,2,65.0,False,False,Aravaca,moncloa,240000,244268.0,-4268.0
14953,bajo,exterior,3,120.0,True,False,Casco Histórico de Vicálvaro,vicalvaro,215000,236097.33333333337,-21097.333333333372
4303,planta 3,exterior,3,65.0,True,False,Lavapiés-Embajadores,centro,287000,288188.99,-1188.9899999999907
11893,planta 3,exterior,3,120.0,False,True,Palomeras Bajas,puente-de-vallecas,289000,258001.96,30998.040000000008
9382,bajo,exterior,1,60.0,True,False,Apóstol Santiago,hortaleza,190000,204113.0,-14113.0
10722,chalet,exterior,5,233.0,False,True,Aravaca,moncloa,850000,1017180.0,-167180.0
5744,chalet,exterior,6,713.0,False,True,Casa o chalet independiente en El Viso,chamartin,10000000,8605691.666666668,1394308.333333332
7137,planta 9,exterior,2,63.0,True,False,Concepción,ciudad lineal,265000,265392.94,-392.9400000000023
11237,planta 9,exterior,2,89.0,True,True,Palomeras sureste,puente-de-vallecas,395000,333995.3333333334,61004.66666666663
15365,bajo,exterior,1,50.0,True,False,Ensanche de Vallecas - La Gavia,villa-de-vallecas,96000,94439.99,1560.0099999999948
14545,planta 5,exterior,2,87.0,True,True,Orcasitas,usera,208000,222841.14666666667,-14841.146666666667
13321,planta 9,exterior,3,140.0,True,True,Cuzco-Castillejos,tetuan,715000,722899.0,-7899.0
2045,planta 3,exterior,2,112.0,True,False,Lista,barrio de salamanca,925000,885685.0,39315.0
1077,planta 4,exterior,4,113.0,True,False,Goya,barrio de salamanca,640000,699746.4285714286,-59746.42857142864
5447,planta 1,interior,3,106.0,True,False,Prosperidad,chamartin,329000,362850.0,-33850.0
13819,planta 3,exterior,2,126.0,True,False,Cuatro Caminos,tetuan,675000,685580.52,-10580.520000000019
12834,planta 4,exterior,2,65.0,True,False,Canillejas,san-blas,350000,235471.67428571428,114528.32571428572
5398,chalet,exterior,9,646.0,False,True,El Viso,chamartin,3995000,5629100.0,-1634100.0
4380,planta 5,exterior,2,50.0,True,False,Sol,centro,425000,420430.0,4570.0
12918,planta 1,exterior,2,46.0,True,False,Simancas,san-blas,130600,167038.55666666667,-36438.55666666667
4589,planta 1,exterior,5,146.0,True,False,Malasaña-Universidad,centro,740000,650055.3333333334,89944.66666666663
2152,planta 5,exterior,2,89.0,True,True,Recoletos,barrio de salamanca,1050000,968372.0,81628.0
2542,planta 2,exterior,3,110.0,True,False,Fuente del Berro,barrio de salamanca,585000,462490.0,122510.0
2394,entreplanta,exterior,3,125.0,True,False,Fuente del Berro,barrio de salamanca,175000,476422.97,-301422.97
14703,planta 3,exterior,3,78.0,True,False,12 de Octubre-Orcasur,usera,149500,166923.72,-17423.72
13527,planta 6,exterior,1,60.0,True,False,Cuzco-Castillejos,tetuan,405000,411707.99,-6707.989999999991
8449,planta 5,exterior,2,105.0,True,True,Peñagrande,fuencarral,570000,560430.5,9569.5
4778,planta 3,exterior,4,225.0,True,False,Huertas-Cortes,centro,2000000,1637980.0,362020.0
1583,planta 5,exterior,3,95.0,True,False,Lista,barrio de salamanca,815000,831520.4307359307,-16520.430735930684
14447,planta 4,exterior,3,65.0,False,False,Almendrales,usera,143000,148367.5,-5367.5
13389,planta 3,exterior,1,30.0,False,False,Cuatro Caminos,tetuan,135000,139600.0,-4600.0
11134,planta 3,exterior,3,59.0,True,False,Vinateros,moratalaz,169000,194450.14285714287,-25450.14285714287
14475,entreplanta,exterior,1,61.0,True,False,Pradolongo,usera,171900,164804.6,7095.399999999994
4334,planta 1,exterior,5,154.0,True,False,Chueca-Justicia,centro,999000,966737.5000000005,32262.499999999534
13878,planta 1,exterior,2,72.0,True,True,Berruguete,tetuan,294500,283399.03,11100.969999999972
7195,planta 2,exterior,2,62.0,True,False,Ventas,ciudad lineal,228000,182508.0,45492.0
322,planta 4,exterior,1,64.0,True,False,Delicias,Arganzuela,298000,288535.965,9464.034999999974
3312,planta 3,exterior,2,70.0,True,False,Vista Alegre,carabanchel,299900,224758.9,75141.1
966,bajo,interior,2,120.0,True,False,Recoletos,barrio de salamanca,825000,810327.0,14673.0
4842,planta 6,exterior,5,194.0,True,False,Bernabéu-Hispanoamérica,chamartin,1150000,1152942.39,-2942.3899999998976
7807,planta 4,exterior,2,59.0,False,False,Ventas,ciudad lineal,152500,151873.0,627.0
560,bajo,exterior,3,59.0,False,False,Imperial,Arganzuela,229000,224800.8333333333,4199.166666666686
12029,planta 5,exterior,5,160.0,True,True,Jerónimos,retiro,850000,883211.6666666665,-33211.66666666651
1488,planta 5,exterior,3,157.0,True,False,Recoletos,barrio de salamanca,1650000,1617347.36,32652.639999999898
1333,planta 1,interior,2,40.0,True,False,Goya,barrio de salamanca,268500,260835.0,7665.0
1615,planta 1,exterior,3,129.0,True,False,Goya,barrio de salamanca,1080000,1080000.0,0.0
774,planta 1,exterior,3,64.0,False,False,Casco Histórico de Barajas,barajas,180000,185206.22333333336,-5206.223333333357
4205,planta 2,exterior,3,117.0,True,False,Palacio,centro,470000,503747.0,-33747.0
13668,planta 3,exterior,2,80.0,True,False,Valdeacederas,tetuan,303000,316242.1666666667,-13242.166666666686
14590,planta 1,exterior,2,65.0,False,False,Pradolongo,usera,135000,142572.9,-7572.899999999994
10335,bajo,exterior,4,285.0,False,False,Ciudad Universitaria,moncloa,1800000,1652756.0,147244.0
9346,planta 1,exterior,2,52.0,True,False,Pinar del Rey,hortaleza,175000,179081.0,-4081.0
563,planta -1,interior,1,34.0,True,False,Acacias,Arganzuela,149000,155903.0,-6903.0
9538,bajo,interior,3,130.0,True,True,Sanchinarro,hortaleza,670000,674351.99,-4351.989999999991
3761,planta 3,exterior,5,220.0,True,False,Malasaña-Universidad,centro,1050000,1063590.0,-13590.0
3744,planta 1,exterior,3,221.0,True,False,Palacio,centro,1800000,1570700.0,229300.0
12402,planta 6,exterior,1,56.0,True,False,Pacífico,retiro,345000,337034.5,7965.5
2306,semi-sotano,exterior,2,99.0,True,False,Goya,barrio de salamanca,380000,420188.0,-40188.0
1356,planta 2,exterior,1,35.0,True,False,Recoletos,barrio de salamanca,395000,400870.0,-5870.0
4149,planta 3,exterior,6,141.0,True,False,Huertas-Cortes,centro,685000,687190.0,-2190.0
9048,planta 1,exterior,3,105.0,True,False,Canillas,hortaleza,320000,333809.0,-13809.0
15357,planta 3,exterior,3,146.0,True,True,Ensanche de Vallecas - La Gavia,villa-de-vallecas,295000,341476.0,-46476.0
1907,planta 1,interior,2,67.0,True,False,Lista,barrio de salamanca,282000,336112.75,-54112.75
9304,planta 1,exterior,3,143.0,True,False,Conde Orgaz-Piovera,hortaleza,950000,881769.5,68230.5
5207,bajo,exterior,2,62.0,True,False,El Viso,chamartin,324500,407921.6666666666,-83421.66666666663
498,bajo,exterior,1,71.0,True,False,Imperial,Arganzuela,284000,282750.0,1250.0
14566,planta 3,exterior,2,53.0,False,False,Almendrales,usera,139000,135358.2,3641.7999999999884
8431,planta 2,exterior,3,125.0,True,False,La Paz,fuencarral,599000,506751.38095238095,92248.61904761905
8820,planta 4,exterior,3,190.0,True,True,Dúplex en Arroyo del Fresno,fuencarral,920000,884523.0,35477.0
5428,planta 1,exterior,4,463.0,True,True,El Viso,chamartin,2500000,4436456.666666667,-1936456.666666667
2658,planta 2,exterior,1,51.0,False,False,Puerta Bonita,carabanchel,122000,110931.88833333332,11068.111666666679
15259,planta 8,exterior,3,171.0,True,True,Ensanche de Vallecas - La Gavia,villa-de-vallecas,649000,594331.99,54668.01000000001
6512,bajo,exterior,3,68.0,True,False,Nuevos Ministerios-Ríos Rosas,chamberi,310000,325432.8208333333,-15432.820833333302
4575,bajo,interior,1,25.0,True,False,Dúplex en Palacio,centro,169000,155293.0,13707.0
6268,entreplanta,exterior,1,45.0,True,False,Arapiles,chamberi,290000,305379.99,-15379.98999999999
6242,planta 1,exterior,2,150.0,True,False,Trafalgar,chamberi,980000,1068290.0,-88290.0
15575,planta 2,exterior,3,105.0,True,True,Villaverde Alto,villaverde,189999,202201.87338095234,-12202.87338095234
15494,bajo,exterior,2,64.0,False,False,Los Ángeles,villaverde,136900,126773.59183333331,10126.40816666669
8216,planta 1,exterior,3,71.0,False,False,Tres Olivos - Valverde,fuencarral,195000,200640.93,-5640.929999999993
6632,planta 3,exterior,1,80.0,True,True,Gaztambide,chamberi,450000,446405.7,3594.2999999999884
1087,planta 6,exterior,3,360.0,True,True,Recoletos,barrio de salamanca,4500000,4100800.0,399200.0
15655,planta 4,exterior,2,80.0,True,True,Villaverde Alto,villaverde,210000,200590.0,9410.0
3319,planta 3,exterior,2,55.0,True,False,Buena Vista,carabanchel,159999,151584.02,8414.98000000001
13617,planta 1,exterior,1,63.0,True,False,Berruguete,tetuan,235000,231825.0,3175.0
14516,planta 1,exterior,3,100.0,False,False,Almendrales,usera,190000,184963.0,5037.0
3149,planta 3,exterior,3,73.0,False,False,San Isidro,carabanchel,186000,167459.5,18540.5
11663,planta 4,exterior,2,84.0,False,True,Palomeras Bajas,puente-de-vallecas,122000,151779.9,-29779.899999999994
12593,bajo,exterior,1,102.0,True,True,Simancas,san-blas,290000,300541.99600000004,-10541.996000000043
7288,planta 3,exterior,1,71.0,True,True,Pueblo Nuevo,ciudad lineal,235000,244075.28,-9075.279999999999
14886,planta 4,exterior,3,65.0,False,False,Casco Histórico de Vicálvaro,vicalvaro,170000,156696.02070238098,13303.979297619022
12817,chalet,exterior,6,340.0,False,False,Casa o chalet independiente en Rejas,san-blas,650000,805101.0,-155101.0
2143,planta 3,exterior,3,250.0,True,False,Recoletos,barrio de salamanca,2700000,2640820.0,59180.0
2732,planta 2,interior,2,66.0,False,False,Vista Alegre,carabanchel,165000,141775.0,23225.0
5535,planta 5,exterior,5,223.0,True,True,Castilla,chamartin,875000,1018570.0,-143570.0
12625,planta 3,exterior,4,250.0,True,True,Simancas,san-blas,420000,594886.0,-174886.0
4579,planta 1,exterior,2,99.0,True,False,Lavapiés-Embajadores,centro,450000,476545.00000000006,-26545.00000000006
5213,planta 2,exterior,2,87.0,True,False,Bernabéu-Hispanoamérica,chamartin,465000,455127.0,9873.0
9507,planta 1,exterior,2,67.0,True,True,Canillas,hortaleza,333000,328339.45,4660.549999999988
5526,planta 3,exterior,4,340.0,True,False,El Viso,chamartin,2400000,2898437.514900558,-498437.51490055816
11323,planta 4,exterior,2,63.0,True,True,San Diego,puente-de-vallecas,148000,219864.0,-71864.0
6523,planta 1,exterior,3,103.0,True,True,Gaztambide,chamberi,545000,544378.38,621.6199999999953
15922,planta 5,exterior,3,156.0,True,True,Villaverde Alto,villaverde,365000,327423.8,37576.20000000001
15658,planta 5,exterior,1,89.0,True,True,Villaverde Alto,villaverde,275000,268758.99,6241.010000000009
9040,planta 4,exterior,1,60.0,True,True,Sanchinarro,hortaleza,325000,321509.0,3491.0
9613,planta 4,exterior,3,88.0,True,False,Puerta del Ángel,latina,260000,231633.3333333333,28366.666666666686
12077,planta 4,exterior,5,280.0,True,False,Ático en Jerónimos,retiro,2500000,2144300.0,355700.0
3195,planta 3,exterior,3,89.0,True,False,Comillas,carabanchel,285030,248955.00333333333,36074.99666666667
2784,planta 4,exterior,3,97.0,True,False,Vista Alegre,carabanchel,200000,201490.0,-1490.0
12596,bajo,exterior,3,95.0,True,False,Amposta,san-blas,209900,215775.44,-5875.440000000002
3334,bajo,exterior,2,113.0,True,True,Vista Alegre,carabanchel,250000,264248.3333333333,-14248.333333333314
11996,planta 3,exterior,5,165.0,True,False,Pacífico,retiro,695000,672002.3633333333,22997.636666666716
14541,planta 4,exterior,3,85.0,True,False,Moscardó,usera,350000,241052.99,108947.01000000001
12633,chalet,exterior,6,203.0,False,True,Chalet adosado en Salvador,san-blas,940000,946110.0,-6110.0
13359,planta 10,exterior,5,235.0,True,False,Cuzco-Castillejos,tetuan,950000,994215.0,-44215.0
14141,bajo,interior,1,35.0,False,False,Berruguete,tetuan,120500,107819.66666666669,12680.333333333314
9852,planta 6,exterior,3,73.0,True,False,Águilas,latina,179000,179342.24666666667,-342.24666666667326
1929,planta 1,interior,2,45.0,True,False,Goya,barrio de salamanca,280000,297040.0,-17040.0
11696,planta 1,exterior,3,80.0,False,False,Entrevías,puente-de-vallecas,165000,160763.0,4237.0
5713,planta 8,exterior,4,300.0,True,True,Nueva España,chamartin,2200000,2179233.3333333335,20766.66666666651
305,planta 2,interior,2,41.0,True,False,Imperial,Arganzuela,155000,160376.9,-5376.899999999994
11567,planta 4,exterior,2,57.0,False,False,Entrevías,puente-de-vallecas,109900,109726.0,174.0
3081,planta 1,exterior,3,110.0,True,False,Puerta Bonita,carabanchel,288000,257360.48,30639.51999999999
7487,planta 2,exterior,3,87.0,True,False,Ventas,ciudad lineal,180000,205664.95,-25664.95000000001
7252,planta 2,interior,3,65.0,True,False,Pueblo Nuevo,ciudad lineal,188000,169033.0,18967.0
8093,planta 4,exterior,3,56.0,True,False,Pueblo Nuevo,ciudad lineal,136000,170090.16857142857,-34090.16857142857
2024,planta 10,exterior,4,112.0,True,True,Guindalera,barrio de salamanca,550000,571790.0,-21790.0
2701,planta 1,interior,2,60.0,False,False,Buena Vista,carabanchel,139900,136968.9975,2931.0025000000023
6542,planta 1,exterior,5,212.0,True,False,Vallehermoso,chamberi,785000,869275.0,-84275.0
5454,planta 3,exterior,2,188.0,True,True,Nueva España,chamartin,1240000,1236267.0,3733.0
13356,bajo,exterior,1,67.0,True,False,Cuatro Caminos,tetuan,290000,317736.6185714286,-27736.618571428582
8318,planta 11,exterior,3,180.0,True,True,La Paz,fuencarral,550000,617291.9,-67291.90000000002
7467,planta 9,exterior,3,80.0,True,False,Concepción,ciudad lineal,260000,276188.71222222224,-16188.712222222239
8509,chalet,exterior,7,513.0,False,True,Chalet pareado en Peñagrande,fuencarral,990000,1124420.3657142858,-134420.36571428576
5111,planta 1,interior,2,88.0,True,False,Nueva España,chamartin,399000,428185.0,-29185.0
1062,planta 2,exterior,3,319.0,True,False,Lista,barrio de salamanca,2700000,2599713.3333333335,100286.66666666651
7313,bajo,exterior,4,160.0,True,True,San Pascual,ciudad lineal,1130000,897730.0,232270.0
4448,planta 4,exterior,2,88.0,True,False,Palacio,centro,418000,449469.0,-31469.0
2758,bajo,exterior,2,70.0,False,False,Comillas,carabanchel,167000,158260.0,8740.0
2060,planta 6,exterior,2,94.0,True,False,Lista,barrio de salamanca,749000,703728.0,45272.0
8924,chalet,exterior,5,420.0,False,True,Chalet adosado en Conde Orgaz-Piovera,hortaleza,1290000,1789160.0,-499160.0
13126,planta 2,exterior,3,57.0,False,False,Canillejas,san-blas,155000,181008.63619047616,-26008.636190476158
11653,planta 2,exterior,1,51.0,True,False,Numancia,puente-de-vallecas,175000,151251.89,23748.109999999986
10033,bajo,exterior,2,85.0,False,False,Lucero,latina,179000,179699.84,-699.8399999999965
15687,planta 1,exterior,4,116.0,True,True,Villaverde Alto,villaverde,229000,259646.0,-30646.0
3299,planta 1,exterior,2,78.0,True,True,San Isidro,carabanchel,300000,270017.035,29982.965000000026
13130,planta 2,exterior,2,95.0,True,True,Rejas,san-blas,325000,376205.0,-51205.0
14643,planta 2,exterior,2,89.0,True,True,San Fermín,usera,236000,252932.47238095236,-16932.472380952357
14005,bajo,exterior,2,33.0,False,False,Bellas Vistas,tetuan,108500,113708.33333333334,-5208.333333333343
3661,planta 2,interior,2,70.0,False,False,San Isidro,carabanchel,81000,108740.83333333331,-27740.833333333314
12199,bajo,interior,1,28.0,False,False,Pacífico,retiro,98000,113125.0,-15125.0
2929,planta 5,exterior,4,135.0,True,True,Abrantes,carabanchel,435000,428376.5,6623.5
12908,planta 1,exterior,3,65.0,False,False,Canillejas,san-blas,175000,199420.84666666665,-24420.84666666665
14473,planta 3,interior,2,83.0,True,False,Moscardó,usera,268000,241110.48476190475,26889.51523809525
7708,bajo,exterior,2,53.0,False,False,Pueblo Nuevo,ciudad lineal,150000,157213.0773809524,-7213.077380952396
3517,planta 4,exterior,3,65.0,False,False,Puerta Bonita,carabanchel,95000,120697.9,-25697.899999999994
4811,chalet,exterior,4,248.0,False,False,Chalet pareado en El Viso,chamartin,2400000,1943496.0,456504.0
12462,planta 4,exterior,5,154.0,True,False,Pacífico,retiro,565000,585600.0,-20600.0
15574,planta 1,exterior,3,100.0,True,True,Los Rosales,villaverde,160000,197830.0,-37830.0
3746,planta 4,exterior,2,95.0,False,False,Palacio,centro,410000,438381.99,-28381.98999999999
13250,planta 3,exterior,3,77.0,False,False,Canillejas,san-blas,155000,230496.67166666663,-75496.67166666663
4545,planta 3,interior,2,34.0,False,False,Malasaña-Universidad,centro,245000,219385.0,25615.0
4408,planta 1,exterior,2,54.0,True,False,Malasaña-Universidad,centro,249000,282689.99,-33689.98999999999
10969,planta 3,exterior,3,156.0,False,True,Ciudad Universitaria,moncloa,620000,657150.0,-37150.0
4281,planta 2,exterior,9,180.0,True,False,Sol,centro,690000,729735.5555555555,-39735.555555555504
1060,planta 6,exterior,2,179.0,True,True,Ático en Castellana,barrio de salamanca,1750000,1565100.0,184900.0
8320,planta 3,exterior,3,111.0,True,True,Peñagrande,fuencarral,540000,608154.0,-68154.0
13902,bajo,exterior,1,44.0,False,False,Cuatro Caminos,tetuan,203000,202829.0,171.0
6633,planta 3,interior,3,56.0,True,False,Arapiles,chamberi,285000,297459.0,-12459.0
790,entreplanta,exterior,3,120.0,True,False,Alameda de Osuna,barajas,329000,433046.77,-104046.77000000002
5886,chalet,exterior,5,512.0,False,False,Vallehermoso,chamberi,2350000,2407683.01,-57683.00999999978
14064,planta 1,exterior,1,32.0,False,False,Bellas Vistas,tetuan,170000,159645.56666666668,10354.43333333332
8258,chalet,exterior,4,340.0,False,True,Chalet en Mirasierra,fuencarral,1490000,1021350.0,468650.0
11038,planta 1,exterior,4,134.0,True,True,Horcajo,moratalaz,448000,595176.22,-147176.21999999997
13266,planta 2,exterior,7,430.0,True,True,Cuzco-Castillejos,tetuan,2150000,2058590.0,91410.0
13162,bajo,exterior,3,95.0,True,False,Rejas,san-blas,148900,254119.95,-105219.95000000001
8042,planta 6,exterior,3,95.0,True,True,San Juan Bautista,ciudad lineal,404000,454589.5,-50589.5
1535,planta 8,exterior,5,300.0,True,True,Castellana,barrio de salamanca,2750000,2613800.0,136200.0
1595,planta 5,exterior,2,194.0,True,False,Castellana,barrio de salamanca,935000,1210118.735,-275118.7350000001
